deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
44516-4646,APN,AQUAPENN SPRING WATER COMPANY INC,New York Stock Exchange,13,"4,071,117",1998-01-30T00:00:00+02:00,1998,1,"$52,924,521",,,#NAME?,
308-4861,MRCY,MERCURY SYSTEMS INC,Nasdaq National Market,10.5,"3,500,000",1998-01-30T00:00:00+02:00,1998,1,"$36,750,000",,,,
11412-5009,VRSN,VERISIGN INC/CA,Nasdaq National Market,14,"3,000,000",1998-01-30T00:00:00+02:00,1998,1,"$42,000,000",,,,
4764-4399,WINS,SM&A,Nasdaq National Market,12,"3,150,000",1998-01-29T00:00:00+02:00,1998,1,"$37,800,000",,,,
9540-4718,MRGE,MERGE HEALTHCARE INC,Nasdaq SmallCap Market,6,"1,900,000",1998-01-29T00:00:00+02:00,1998,1,"$11,400,000",,,,
4059-4598,JPST,JPS INDUSTRIES INC,Nasdaq National Market,11,"10,000,000",1998-01-29T00:00:00+02:00,1998,1,"$110,000,000",,,,
8859-4717,KBL,KEEBLER FOODS CO,New York Stock Exchange,24,"11,640,575",1998-01-29T00:00:00+02:00,1998,1,"$279,373,800",,,,
2172-4792,CECO,PERDOCEO EDUCATION Corp,Nasdaq National Market,16,"2,850,000",1998-01-29T00:00:00+02:00,1998,1,"$45,600,000",,,,
1438-5103,HPAC,HAWKER PACIFIC AEROSPACE,Nasdaq National Market,8,"2,766,667",1998-01-29T00:00:00+02:00,1998,1,"$22,133,336",,,,
6260-9635,TCBA,TARPON COAST BANCORP INC,OTCBB,10,"1,000,000",1998-01-28T00:00:00+02:00,1998,1,"$10,000,000",,,,
7562-4715,RMTI,"ROCKWELL MEDICAL, INC.",Nasdaq SmallCap Market,4,"1,800,000",1998-01-27T00:00:00+02:00,1998,1,"$7,200,000",,,,
6101-4737,IEE,"IES Holdings, Inc.",New York Stock Exchange,13,"7,000,000",1998-01-27T00:00:00+02:00,1998,1,"$91,000,000",,,,
9308-5106,TAG,"TALON INTERNATIONAL, INC.",American Stock Exchange,4,"1,680,000",1998-01-23T00:00:00+02:00,1998,1,"$6,720,000",,,,
9322-4331,AJX,STANDARD AUTOMOTIVE CORP,American Stock Exchange,10,"1,300,000",1998-01-22T00:00:00+02:00,1998,1,"$13,000,000",,,,
3600-4829,IFLY,800 TRAVEL SYSTEMS INC,Nasdaq SmallCap Market,5,"1,350,000",1998-01-15T00:00:00+02:00,1998,1,"$6,750,000",,,,
10445-9388,TSBK,TIMBERLAND BANCORP INC,Nasdaq National Market,10,"6,612,500",1998-01-13T00:00:00+02:00,1998,1,"$66,125,000",,,,
7271-9292,MYST,MYSTIC FINANCIAL INC,Nasdaq National Market,10,"2,711,125",1998-01-09T00:00:00+02:00,1998,1,"$27,111,250",,,,
1786-9374,HFWA,HERITAGE FINANCIAL CORP /WA/,Nasdaq National Market,10,"6,612,500",1998-01-09T00:00:00+02:00,1998,1,"$66,125,000",,,,
2823-4450,DISS,DIVERSIFIED SENIOR SERVICES INC,Nasdaq SmallCap Market,5,"1,500,000",1998-01-09T00:00:00+02:00,1998,1,"$7,500,000",,,,
4526-4662,FANT,FINANTRA CAPITAL INC,Nasdaq SmallCap Market,5.5,"1,600,000",1998-01-08T00:00:00+02:00,1998,1,"$8,800,000",,,,
11843-5475,WPBC,WYMAN PARK BANCORPORATION INC,OTCBB,10,"1,011,713",1998-01-07T00:00:00+02:00,1998,1,"$10,117,130",,,,
1861-9434,UTBI,UNITED TENNESSEE BANKSHARES INC,Nasdaq SmallCap Market,10,"1,454,750",1998-01-05T00:00:00+02:00,1998,1,"$14,547,500",,,,
8545-5530,CMAN,CHAPMAN HOLDINGS INC,Nasdaq SmallCap Market,8,"964,387",1998-02-27T00:00:00+02:00,1998,2,"$7,715,096",,,,
1534-9714,SFSH,SFSB HOLDING CO,OTCBB,10,"726,005",1998-02-27T00:00:00+02:00,1998,2,"$7,260,050",,,,
3868-8936,SIZL,STEAKHOUSE PARTNERS INC,Nasdaq SmallCap Market,5,"1,250,000",1998-02-27T00:00:00+02:00,1998,2,"$6,250,000",,,,
2331-4831,SIDE,"ASSOCIATED MATERIALS, LLC",Nasdaq National Market,16,"2,128,800",1998-02-26T00:00:00+02:00,1998,2,"$34,060,800",,,,
7977-4592,CTWO,GLOBALDIGITALCOMMERCE COM INC,Nasdaq SmallCap Market,6,"1,000,000",1998-02-25T00:00:00+02:00,1998,2,"$6,000,000",,,,
4016-5096,DOCC,DOCUCORP INTERNATIONAL INC,Nasdaq National Market,5,"6,820,000",1998-02-25T00:00:00+02:00,1998,2,"$34,100,000",,,,
9023-4553,SHOE,SHOE PAVILION INC,Nasdaq National Market,7,"2,000,000",1998-02-24T00:00:00+02:00,1998,2,"$14,000,000",,,,
11379-9786,MBHI,MIDWEST BANC HOLDINGS INC,Nasdaq National Market,15,"1,100,000",1998-02-23T00:00:00+02:00,1998,2,"$16,500,000",,,,
3105-4491,NUTR,NUTRACEUTICAL INTERNATIONAL CORP,Nasdaq National Market,17.5,"3,330,000",1998-02-20T00:00:00+02:00,1998,2,"$58,275,000",,,,
7108-5111,DCLK,DOUBLECLICK INC,Nasdaq National Market,17,"3,500,000",1998-02-20T00:00:00+02:00,1998,2,"$59,500,000",,,,
6643-4653,ABTG,AMBIENT CORP /NY,OTCBB,8,"525,000",1998-02-18T00:00:00+02:00,1998,2,"$4,200,000",,,,
6102-9600,PFC,GENEVA FINANCIAL CORP,American Stock Exchange,9,"1,250,000",1998-02-18T00:00:00+02:00,1998,2,"$11,250,000",,,,
8458-4600,SCS,STEELCASE INC,New York Stock Exchange,28,"12,150,000",1998-02-18T00:00:00+02:00,1998,2,"$340,200,000",,,,
9081-5105,FCGI,FIRST CONSULTING GROUP INC,Nasdaq National Market,13,"4,012,384",1998-02-13T00:00:00+02:00,1998,2,"$52,160,992",,,,
4918-9569,ICMT,ICON CMT CORP,Nasdaq National Market,10,"3,850,000",1998-02-13T00:00:00+02:00,1998,2,"$38,500,000",,,,
1121-4346,MUSE,MICROMUSE INC,Nasdaq National Market,12,"3,200,000",1998-02-13T00:00:00+02:00,1998,2,"$38,400,000",,,,
10671-5493,SMPX,SYMPHONIX DEVICES INC,Nasdaq National Market,12,"2,300,000",1998-02-13T00:00:00+02:00,1998,2,"$27,600,000",,,,
6189-4582,AMSFF,AMERICAN SAFETY INSURANCE HOLDINGS LTD,Nasdaq National Market,11,"2,700,000",1998-02-13T00:00:00+02:00,1998,2,"$29,700,000",,,,
6156-4599,APWR,ASTROPOWER INC,Nasdaq National Market,6,"2,700,000",1998-02-13T00:00:00+02:00,1998,2,"$16,200,000",,,,
9619-4972,CAWW,ACCESS WORLDWIDE COMMUNICATIONS INC,Nasdaq National Market,12,"4,000,000",1998-02-13T00:00:00+02:00,1998,2,"$48,000,000",,,,
9593-4410,BAL,BALANCED CARE CORP,American Stock Exchange,6.5,"7,000,000",1998-02-12T00:00:00+02:00,1998,2,"$45,500,000",,,,
